Elapsed time is 253.930798 seconds.
         39608741 function calls (39475136 primitive calls) in 253.931 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       26    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
      190    0.001    0.000    0.001    0.000 {built-in method _warnings.warn}
   161929    0.016    0.000    0.016    0.000 {built-in method builtins.abs}
        3    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        8    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
        1    0.000    0.000  253.931  253.931 {built-in method builtins.exec}
       17    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
  2505861    0.459    0.000    0.459    0.000 {built-in method builtins.hasattr}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.id}
  5125464    0.801    0.000    0.801    0.000 {built-in method builtins.isinstance}
  5011230    0.649    0.000    0.649    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
   135430    0.023    0.000    0.023    0.000 {built-in method builtins.len}
      198    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.min}
   133607    1.253    0.000    6.290    0.000 {built-in method builtins.print}
        3    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
   101242    0.129    0.000    0.129    0.000 {built-in method builtins.round}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 {built-in method fcntl.ioctl}
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
      380    0.001    0.000    0.001    0.000 {built-in method numpy.core.multiarray.arange}
  3641376   59.986    0.000   59.986    0.000 {built-in method numpy.core.multiarray.array}
      760    0.002    0.000    0.002    0.000 {built-in method numpy.core.multiarray.concatenate}
      380    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.result_type}
      200    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.zeros}
      380    0.006    0.000    0.006    0.000 {built-in method numpy.fft.fftpack_lite.cfftb}
        1    0.000    0.000    0.000    0.000 {built-in method numpy.fft.fftpack_lite.cffti}
        9    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
        5    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        9    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
       18    0.000    0.000    0.000    0.000 {built-in method time.localtime}
        2    0.000    0.000    0.000    0.000 {built-in method time.perf_counter}
       18    0.000    0.000    0.000    0.000 {built-in method time.strftime}
       13    0.000    0.000    0.000    0.000 {built-in method time.time}
        2    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        2    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        6    0.000    0.000    0.000    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
       42    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        6    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        5    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
  2311012    0.334    0.000    0.334    0.000 {method 'append' of 'list' objects}
      380    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedWriter' objects}
      380    0.000    0.000    0.000    0.000 {method 'conj' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
   360406    0.056    0.000    0.056    0.000 {method 'copy' of 'list' objects}
      190    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 {method 'difference' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        2    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       20    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
   247220    0.700    0.000    0.700    0.000 {method 'format' of 'str' objects}
       27    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       12    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       18    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'locked' of '_thread.lock' objects}
       18    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
  2505425    1.240    0.000   24.619    0.000 {method 'mean' of 'numpy.ndarray' objects}
      760    0.003    0.000    0.003    0.000 {method 'normal' of 'mtrand.RandomState' objects}
      759    0.000    0.000    0.000    0.000 {method 'pop' of 'collections.OrderedDict' objects}
        2    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
   247394    0.034    0.000    0.034    0.000 {method 'pop' of 'list' objects}
       12    0.000    0.000    0.000    0.000 {method 'randint' of 'mtrand.RandomState' objects}
        2    0.000    0.000    0.000    0.000 {method 'readline' of '_io.StringIO' objects}
  2669734    8.986    0.000    8.986    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        6    0.000    0.000    0.000    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
       42    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        3    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 {method 'remove' of 'collections.deque' objects}
   494010    0.088    0.000    0.088    0.000 {method 'remove' of 'list' objects}
        4    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
       18    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       27    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       10    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       32    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
   133613    0.242    0.000    3.228    0.000 {method 'sort' of 'list' objects}
       18    0.000    0.000    0.000    0.000 {method 'span' of '_sre.SRE_Match' objects}
      190    0.000    0.000    0.008    0.000 {method 'std' of 'numpy.ndarray' objects}
      722    0.001    0.000    0.001    0.000 {method 'uniform' of 'mtrand.RandomState' objects}
        2    0.000    0.000    0.000    0.000 {method 'write' of '_io.BufferedWriter' objects}
       40    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
